worker_id,x_skill,ell_x,ell_y,a_skill,s_skill,u_i0,u_i1,u_i2,u_i3,u_i4,u_i5,u_i6,u_i7,u_i8,u_i9,u_i10,chosen_firm,chosen_firm_original_id
0,7.437284489095588,-4.6291013127781575,2.2767785165879846,3.7096212591084976,11.146905748204086,0.24821626271210584,-0.5599706914849724,33.35228182133699,-2.5588623692228962,32.9408462056725,33.47678395628527,-0.5005293677866506,30.677749912863224,33.33936309249577,32.730132440268235,6.136604748211321,0,0
1,9.052754706183505,0.8847920250303227,-0.6217643118339988,0.45144432145521063,9.504199027638716,1.4884804771096956,1.2551134685607415,32.06054407398597,-2.6147254792632686,32.052835599449324,35.03710556187123,-0.030538338316065727,30.25757674912309,35.80059778406064,33.16463008157757,4.2551391108737775,0,0
2,13.357605679352046,-1.2454735218292747,0.16434711819184078,-2.0694593760150255,11.28814630333702,0.8800865513110976,3.659057584449829,33.198862270039385,-2.8818802040318876,30.970082601792182,37.308111292345224,0.6226746188613906,32.814951157064854,33.92253396831412,33.03034233680881,3.2884004761430394,1,1
3,10.513333489744795,5.521608290040884,-0.9224103205789826,2.0047152018556784,12.518048691600473,2.560962507051508,0.5795153426978232,36.44821178417219,-3.566639317843089,32.700006996509096,31.701309678048393,0.9049660983803132,32.68385446148217,34.377334267958155,33.744848251191726,3.6375425268692143,0,0
4,12.401600339063629,-4.551614240333792,-2.5594339146809277,-0.6886469991500637,11.712953339913565,0.7555038989008868,-0.6098229394251135,32.16961022831388,-2.9856357742375055,31.92531394234257,34.92869491855239,2.6388022692829596,31.739307733716686,38.948130624024735,32.615119336623465,3.893317462449168,3,6
5,11.509469857268854,-1.6160912726797978,5.0489160216334055,-1.8942550256597852,9.61521483160907,1.3525797138370526,0.5199159108924464,35.35611495037779,-1.5696885874323834,35.72004555065033,32.77915872150696,-0.6598608570091218,31.08710133645686,34.72642046229231,31.88323588007965,5.522812084934245,0,0
6,8.35419451943545,-0.19467019088234133,1.6254963946425627,4.4873965984008874,12.841591117836337,-0.0867001263939789,1.027380390911913,33.127144122679574,-2.507884266041709,33.059345601480025,33.74658915541256,0.17237424988792516,34.06427764816932,36.762395616873135,33.19622685232479,2.7329380251113307,1,1
7,11.418075773066763,5.05452215909104,4.944837758689447,-0.5541907102715512,10.86388506279521,1.5852860450157396,-0.08332344201477512,33.51734079311626,-2.5982895426783807,31.851730263232227,33.253160081506984,6.555329892221732,31.292746562072036,35.50621787111277,31.871544228225652,3.223622095910668,3,6
8,9.185851826968879,0.8493536626694903,9.645517420097017,3.2790257430982086,12.464877570067088,0.5291548031332904,0.8931950062022229,32.721119670288275,-2.8809034890805836,31.021380044060336,33.13985945051336,0.11841575275035832,32.59573595756569,34.29787887236145,33.68825800644196,2.6358689705258405,1,1
9,9.170788297986704,-7.746585662698679,6.879139306496838,-0.37745296882714613,8.793335329159557,2.742215125525445,0.9417164711011472,36.36296442291804,-2.0980105896283483,33.09436954138168,32.667387140226104,1.2017725873075211,30.680327410312845,35.78164056973121,32.94337173178568,3.7634294599818445,0,0
10,10.26163502854319,3.4033489203549996,-3.171426894975805,3.5624267547253283,13.824061783268517,3.0689393694879072,1.4158346275451565,34.64317562961383,-0.20323654727190554,31.872291178571636,34.160577986089955,2.263661950933575,33.194558952916694,36.76112531268895,34.82308154474486,5.387030077295365,0,0
11,6.041580943050726,5.839988437672533,6.654153019456513,1.0079774156770804,7.049558358727807,-0.8586543796112226,-0.015063944008702548,34.63301564502904,-1.8133872375065725,35.82318577243295,33.357014825569756,-1.9108413880438344,31.647024296080545,35.055917850056,31.334692498854672,3.6802098965190972,1,1
12,13.108631870664313,-0.9129581276916736,-1.298797837710675,1.4222859708486624,14.530917841512975,0.28990616706269445,-0.05781340080512365,33.14391521993896,-2.473777512836977,33.90130261340703,34.41967962221519,-0.5907540273719005,34.66139247245714,35.12827953673705,36.210633976519404,2.53024742930538,0,0
13,8.264166844547315,-2.9011870815331835,7.279064441764411,-0.2628725485096181,8.001294296037697,1.9016451857093726,-0.6268315081541844,32.65035642033131,-0.16411272699478952,32.35334732707519,34.81556503642994,-1.6153844688380525,33.63127464463897,33.741939704330676,34.16958476158069,4.226503308587123,0,0
14,12.609700491114598,2.3464072749638154,-2.281197049149606,1.2321447997195296,13.841845290834128,1.3977752578561735,0.3481674165285358,33.17535179170532,0.47679569464404237,31.86546901112823,33.046506989710835,-1.5503144239257196,30.658139193031232,34.80970618239194,33.76857689848006,3.4497299758513704,0,0
15,10.363434922018106,7.214835721006123,5.745665922475914,0.1138693019970104,10.477304224015116,-0.5813004633235559,-0.923585712622255,33.216119417471695,-1.0503400834990737,31.6202889396851,35.53402874005406,0.20121380772972186,30.213544883651736,35.19470756050073,32.31343921560828,4.838449826456394,3,6
16,13.99228600703487,-5.9930077502138746,3.091521071552017,0.9560721891115624,14.948358196146433,-0.46865447116226794,1.0770201423422532,34.05036150813666,-2.1556254756613695,33.477569890142114,34.0827584286033,-0.2898791862292916,30.464342201199766,36.087967987348044,32.660838125842176,4.504871411750053,1,1
17,8.293079524141266,0.014698287677557107,2.3959354465975786,0.6964897067318646,8.98956923087313,0.43453220155176486,-0.2514666342945765,34.402656897548006,-2.9704060972414412,33.61122581754593,35.99724527759819,2.182704138112219,31.393827893761443,37.138080892284634,32.98223912520003,4.695767993602005,3,6
18,9.198333373178215,3.399169576333108,3.760336087611213,2.784093239897605,11.98242661307582,0.8343667562317261,2.740337245780353,33.13690287372332,-2.865557986836941,31.837144958284743,32.986675933150615,-0.8169524273700529,30.928944113906557,33.98077926742103,34.21917521074051,3.9122917780008977,1,1
19,10.887199729052949,4.553421697041037,1.3596866405249288,0.1793012414336873,11.066500970486636,3.126522995433171,-0.6501703521568246,33.28507698851254,-0.8064976853972745,31.329621734463707,33.947240659981375,-0.05472989162088082,30.653396539951284,38.02454730874274,32.810984902508004,2.5365126039813237,0,0
20,4.269575144680509,-1.6210367565831971,1.505156841601356,1.932157752932132,6.201732897612641,-0.44085002813730456,-0.4243376957809856,35.00167424599062,-2.392116135225868,33.94448928377577,33.63619107668334,0.022680966249628953,32.380153317732955,35.22049173639036,35.21904335575452,2.829861066978739,3,6
21,12.161595748052717,-14.231742588145174,1.0074894304050435,2.651977865070011,14.813573613122728,0.3653568870364693,-1.3979074035568202,32.79666970133491,0.2052036365685086,33.08637017861271,34.91682505616016,-0.9008629124782659,32.287121733337244,33.50305236251664,31.769478867380577,4.765321158156683,0,0
22,14.017239026195607,6.305407417173539,-0.7133339128009273,1.314933426284777,15.332172452480384,1.1049988805729187,1.7052274874348732,34.72140881804879,-1.5302258802544664,31.75717312190332,32.580865445037645,-1.5369525396639991,29.744119685319273,35.17219136819936,32.249654148301794,5.6115183902715975,1,1
23,12.938697662489073,-6.679883837298908,3.875524682888261,-0.12200565314837208,12.8166920093407,0.4082507954081562,0.6291988667801433,34.19017300005393,-2.678641768052879,33.00486588409586,32.925482949099155,3.1987049164331074,35.21383871291071,34.712618516883424,32.75676789451976,4.0579905887679315,3,6
24,11.971401075211853,12.138213681738893,0.14166529600009303,-0.007986037201162088,11.963415038010691,-0.16031630305574507,1.095639295679646,34.332028682876704,-1.8888549402211896,32.17040853482274,35.93300746241281,0.17037204852609955,30.151066598965897,34.36548852262661,32.931028168530815,2.42177881232594,1,1
25,9.629457477900418,2.2349526256043806,0.09949747733130421,1.603440315652252,11.23289779355267,0.6064171837343703,2.309217533973991,35.62540311266441,0.047957547372270426,33.69430367373707,34.40819873200625,1.2673476676924968,32.0422676133997,34.14895229868801,31.244733875107663,3.5963369345173093,1,1
26,13.341945790355254,-6.291338288151427,0.19189781268001305,-0.6575998576703203,12.684345932684934,-0.3937340815135727,0.3594184214957853,37.097044697262476,-2.3395664234023856,32.606975306674755,32.659769058080684,-1.047122454667271,30.569581486471446,35.1219040093446,31.894885201181687,3.9230531269764235,1,1
27,12.801479617127054,-2.1639820921444137,0.5955448698792121,1.167592203213419,13.969071820340472,4.136014447537184,0.3280748508380105,37.66020930914167,-2.8331987491402657,34.03220732803786,35.245902629906446,-1.760691124899063,32.070753366042325,36.83063691393257,31.617541616215384,3.4648261022839426,0,0
28,11.029814195900906,-5.773020681080965,-3.3076421692852414,-0.715989581476847,10.313824614424059,5.109133659850348,3.6253163653088762,36.11122144647753,-3.805641619555915,30.897973708093467,32.25404309253017,0.6759989816134802,32.28681733526559,34.00708776357826,32.206878168492736,4.294006157248308,0,0
29,10.022297213355357,-7.3190938657223175,1.6520702119095865,0.7671122492409802,10.789409462596337,1.855740562605611,-1.2180957482339791,34.25156496208121,-2.7229007305625412,32.68575767716854,34.10323981637766,2.7264354860378175,34.22549559882304,33.43335744342644,31.60670458402427,4.249711562517565,3,6
30,9.0684061323816,-0.05024724838810174,5.8074895189233775,1.9303047257880492,10.99871085816965,0.6804312307214841,-0.5842469925891491,39.36357802435536,-2.572729565472717,31.948174111274,34.01466505722855,-1.2280308835392004,31.93383480270166,34.65402895027403,32.38986332970609,3.2467128985417015,0,0
