parameter,value
N_workers,2500.0
mu_x_skill,10.009
sigma_x_skill,2.6
mu_a_skill,1.0
sigma_a_skill,1.5
mu_s,11.009
sigma_s,3.001666203960727
worker_mu_x,0.0
worker_mu_y,2.0
worker_sigma_x,5.0
worker_sigma_y,4.0
worker_rho,0.0
x_skill_mean,10.011583910555046
x_skill_std,2.631392340708343
ell_x_mean,0.07840526330422194
ell_x_std,4.986271496535873
ell_y_mean,2.01003557481793
ell_y_std,3.9843337875894695
location_corr_empirical,-0.01920732605648784
a_skill_mean,1.020650452308016
a_skill_std,1.4704410801395968
s_skill_mean,11.03223436286306
s_skill_std,3.0368881938198666
