parameter,value
N_workers,500.0
mu_s,10.009
sigma_s,0.245
sigma_x,0.21
sigma_a_skill,0.12619429464123963
mu_a_skill,10.009
worker_mu_x,0.0
worker_mu_y,2.0
worker_sigma_x,5.0
worker_sigma_y,4.0
worker_rho,0.0
x_skill_mean,10.024640423365202
x_skill_std,0.21347558768843639
ell_x_mean,-0.05600479288710838
ell_x_std,4.9749574136890535
ell_y_mean,1.6095067046356977
ell_y_std,3.9754845010368745
location_corr_empirical,-0.03085202962164547
a_skill_mean,10.001811731748575
a_skill_std,0.12963557314653948
